uid,title,score,members,popularity,cluster,cluster_label,reason
755,Boku no Sexual Harassment,5.84,13492,3833,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1763,Midnight Panther,5.84,1731,8266,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2376,Shusaku Liberty,5.84,1724,8279,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1834,Dragon Knight 4,5.82,2318,7592,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3384,Mi-da-ra,5.8100000000000005,1340,8891,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3729,True Blue: Gaiden,5.8,2320,7591,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3711,After... The Animation,5.8100000000000005,6239,5267,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
29863,Anata wo Zutto Aishiteru,6.3,918,9704,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5522,Juuninin no Onna Kyoushi,5.79,1722,8284,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
34758,Momoiro Bouenkyou Anime Edition,5.79,2227,7716,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1144,Tenchi Muyou! in Love 2: Haruka Naru Omoi,7.26,12729,3916,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2500,The Cockpit,7.26,8225,4702,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
11341,Tantei Opera Milky Holmes Dai 2 Maku,7.26,15045,3657,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4382,Suzumiya Haruhi no Yuuutsu (2009),7.26,363531,249,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
9241,Super Robot Taisen OG: The Inspector,7.26,7457,4892,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
37449,Strike the Blood III,7.26,44089,2073,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
866,Slayers Premium,7.26,15935,3578,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
22865,Rokujouma no Shinryakusha!? (TV),7.26,128774,878,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
21073,Puchimas!!: Petit Petit iDOLM@STER,7.26,7126,4979,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
12673,Papa no Iukoto wo Kikinasai!: Pokkapoka,7.26,31644,2489,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
195,Onegai☆Teacher,7.26,132345,854,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
16143,One Piece: Kinkyuu Kikaku One Piece Kanzen Kouryakuhou,7.26,10097,4335,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2140,Aniyome,6.46,4039,6255,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5455,Saimin Jutsu The Animation 2nd,6.57,3694,6488,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1402,Princess Memory,5.67,1188,9167,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4470,Gene Diver,6.3,454,11203,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1679,Green Green Specials,6.3,9188,4498,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4638,Milkyway,5.67,1095,9328,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3454,Kowaremono,5.67,2354,7551,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
23367,Kitakubu Katsudou Kiroku: Miniature Theater,6.3,1701,8318,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
31091,Komori-san wa Kotowarenai!,6.3,41851,2125,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
28179,Miss Monochrome The Animation: Manager,6.3,5198,5669,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4802,Kawarazaki-ke no Ichizoku The Animation,5.54,1126,9275,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4848,Hinadori no Saezuri,5.54,979,9565,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3063,Gakuen Sodom,5.54,1448,8709,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
10149,Mofa Ya Ma,6.3,214,13173,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
13019,Aneki no Kounai Kaikinbi,5.54,6063,5332,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5576,Shimai Ningyou,5.55,1645,8389,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
6097,Heisei Harenchi Gakuen,5.43,1040,9426,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2190,Tsubaki Iro no Purijioone,5.44,1233,9091,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3531,Shinjin Tour Conductor,5.44,1357,8864,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4604,Reijou Caster: Ingyaku no Wana,5.44,1285,8993,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4821,Injuu Kateikyoushi,5.44,927,9676,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4774,Ningyou Tsukai,5.44,1193,9162,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2936,Private Emotion,5.45,1159,9218,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
7455,Kurutta Kyoutou: Danzai no Gakuen,5.45,1996,7952,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3648,Shownoid Mako-chan,5.45,1377,8829,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2345,Choujin Densetsu Urotsukidouji 5: Kanketsu-hen,5.45,1680,8342,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3705,Flashback Game,5.45,1798,8187,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
6328,Bondage Game: Shinsou no Reijoutachi - Shinsou no Doreitachi,5.32,2135,7791,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3793,Dyogrammaton,5.32,2237,7674,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5733,Okusama wa Joshikousei,5.15,1583,8497,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
349,Magical Canan,6.29,3994,6292,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
23989,Maken-Ki! Two Specials,6.29,14867,3681,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
8890,Nippon-ichi no Otoko no Tamashii,6.29,754,10094,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5609,Emi to Yobanaide,5.15,962,9597,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
6150,Shanshan de Hongxing: Hongxing Xiao Yongshi,6.29,239,12791,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
23433,Shin Strange+,6.29,11753,4049,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
7759,Saki Picture Drama,6.29,3500,6629,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2862,Tokineiro,5.16,3206,6854,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5571,Shining May,5.17,478,11103,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5107,Balthus: Tia no Kagayaki,5.16,1468,8686,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
13917,Star☆Jewel Gaiden: Natsumi Oblivion,5.16,1720,8297,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2239,Sei Michaela Gakuen Hyouryuuki,4.86,806,9949,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
31829,Sinbad: Mahou no Lamp to Ugoku Shima,6.29,1153,9229,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
8042,Taishou Yakyuu Musume. Specials,6.29,1230,9095,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
23677,Manga Edo Erobanashi,4.86,321,11993,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4866,Pico x CoCo x Chico,4.87,43322,2077,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
14207,Lovely Series,4.87,421,11378,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4560,Matou Kitan Zankan!,5.16,643,10438,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3910,Kyuukyoku no Sex Adventure Kamasutra,4.89,1260,9030,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3361,UFO Senshi Dai Apolon,6.29,611,10556,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
9166,Attack No.1: Namida no Sekai Senshuken,6.27,509,10958,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
